CustomerID,FirstName,LastName,Email,Phone,DateOfBirth,Gender,OrderDate,OrderTime,OrderSource,OrderType,DishOrdered,OrderAmount,FeedbackRating,FeedbackComments
2,FirstName2,LastName2,customer2@example.com,603-779-6756,11/02/1975,Male,23/02/2022,12:10:22,DoorDash,Delivery,"Stella, Courvoisier VSOP, Rose - The Fabliest - Glass, Maker Mark, Diet Coke",52,3,Fair enough but Courvoisier VSOP didn't wow me.
2,FirstName2,LastName2,customer2@example.com,603-779-6756,11/02/1975,Male,21/12/2021,9:59:27,QR,Dine-in,"Empanada Flight, Bacardi Dbl, Don Julio Blanco Dbl, Toast Flight",80.9,1,Unsatisfactory experience with Don Julio Blanco Dbl. Needs improvement.
3,FirstName3,LastName3,customer3@example.com,933-183-8959,03/12/1968,Male,11/09/2023,12:04:01,Kiosk,Dine-in,"Blantons, Crown Royal, Don Julio 1942 Dbl",92,5,Fantastic Don Julio 1942 Dbl! It exceeded all expectations.
3,FirstName3,LastName3,customer3@example.com,933-183-8959,03/12/1968,Male,06/07/2023,15:47:40,DoorDash,Delivery,"HH Martini Flight, Side potatoes",21,5,Fantastic HH Martini Flight! It exceeded all expectations.
3,FirstName3,LastName3,customer3@example.com,933-183-8959,03/12/1968,Male,07/05/2023,14:34:31,DoorDash,Delivery,Cabernet - Caymus,110,1,The Cabernet - Caymus really let me down. Not what I hoped for.
3,FirstName3,LastName3,customer3@example.com,933-183-8959,03/12/1968,Male,30/04/2023,10:18:45,QR,Dine-in,"HH Old Fashioned Flight, Cabernet - Josh Hearth - Bottle, Beignet Flight, Roy Rogers",74.95,4,Beignet Flight was pretty good. Happy with it.
3,FirstName3,LastName3,customer3@example.com,933-183-8959,03/12/1968,Male,30/12/2022,13:17:51,Kiosk,Takeout,"Glenlivet 12 years Dbl, Mac & Cheese Flight, Don Julio 70 Dbl",84.95,5,Fantastic Mac & Cheese Flight! It exceeded all expectations.
3,FirstName3,LastName3,customer3@example.com,933-183-8959,03/12/1968,Male,15/11/2022,15:57:47,QR,Dine-in,"Patron Reposado, Breakfast Burrito, Side English Muffin",30.95,4,Patron Reposado was pretty good. Happy with it.
3,FirstName3,LastName3,customer3@example.com,933-183-8959,03/12/1968,Male,24/08/2022,19:15:59,Call-in,Delivery,"Side French Toast, Well Whiskey, Pinot Grigio - 14 Hands - Glass",31,1,Disappointed with Pinot Grigio - 14 Hands - Glass. Had higher expectations.
3,FirstName3,LastName3,customer3@example.com,933-183-8959,03/12/1968,Male,01/02/2022,19:31:11,Kiosk,Dine-in,"Woodford Reserve Dbl, Malibu",42,4,Malibu was pretty good. Happy with it.
4,FirstName4,LastName4,customer4@example.com,236-576-4412,04/03/1983,Male,23/08/2023,10:09:02,POS,Dine-in,Chardonnay - Patland - Glass,13,2,Chardonnay - Patland - Glass didn't excite me. It was just passable.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,29/09/2023,10:18:18,QR,Takeout,"Guinness, Teeling Small Batch, Coffee Decaf, Empanada Flight, MODELO",50.95,2,Found the Teeling Small Batch lacking. It's just okay.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,01/08/2023,21:37:23,Kiosk,Dine-in,HH Gin Flight,15,2,HH Gin Flight didn't excite me. It was just passable.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,07/01/2023,18:53:26,QR,Takeout,"Cabernet - Patland, Patron Anejo",66,1,The Cabernet - Patland really let me down. Not what I hoped for.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,01/10/2022,9:25:32,Call-in,Takeout,"Bourbon Flight, Captain Morgan, Tanquerary, Chopin Dbl",78,2,Captain Morgan didn't excite me. It was just passable.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,03/09/2022,16:59:17,QR,Dine-in,"Tanqueray Dbl, Rose - The Fabliest - Bottle, Mule Flight",87,1,Disappointed with Mule Flight. Had higher expectations.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,26/08/2022,18:34:33,Call-in,Takeout,"Don Julio Reposaso Dbl, Jack Daniels Dbl",56,5,Amazing experience with Don Julio Reposaso Dbl. Highly recommend it.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,09/07/2022,14:43:18,QR,Takeout,Laphroaig Dbl,30,4,Enjoyed the Laphroaig Dbl. Well-made and tasty.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,04/05/2022,11:57:28,DoorDash,Takeout,"Martini Flight, Campbell Mud Pie, Hendricks Dbl, Ahi Tuna Taco Flight",77.95,5,Fantastic Ahi Tuna Taco Flight! It exceeded all expectations.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,10/04/2022,13:02:33,POS,Dine-in,"Well Gin, Pinot Noir - Josh - Glass",21,4,Really liked the Well Gin. Quite satisfying.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,18/12/2021,14:52:41,QR,Takeout,"Elysian Space Dust, Well Tequila, Whistle Pig Rye, Bulleit Bourbon Dbl",61,2,Found the Well Tequila lacking. It's just okay.
5,FirstName5,LastName5,customer5@example.com,946-939-8504,06/01/1988,Male,15/12/2021,12:11:06,Kiosk,Takeout,Hennessy OX,20,1,Disappointed with Hennessy OX. Had higher expectations.
7,FirstName7,LastName7,customer7@example.com,339-503-6125,24/04/1964,Other,30/09/2023,10:36:05,POS,Dine-in,"Laphroaig Dbl, Chardonnay - Ste Chateau Michelle - Bottle, Chardonnay - Flights Founder's Label - Glass, White Wine Flight",109,5,Amazing experience with White Wine Flight. Highly recommend it.
7,FirstName7,LastName7,customer7@example.com,339-503-6125,24/04/1964,Other,29/09/2023,15:14:58,DoorDash,Takeout,Taco Flight,17.95,5,Amazing experience with Taco Flight. Highly recommend it.
7,FirstName7,LastName7,customer7@example.com,339-503-6125,24/04/1964,Other,04/05/2023,19:49:05,QR,Takeout,"Buffalo Trace Dbl, Grey Goose Dbl, Well Mezcal Dbl",75,3,Fair enough but Buffalo Trace Dbl didn't wow me.
7,FirstName7,LastName7,customer7@example.com,339-503-6125,24/04/1964,Other,24/03/2023,19:25:58,Kiosk,Takeout,Macaroni & Cheese,10,4,Really liked the Macaroni & Cheese. Quite satisfying.
7,FirstName7,LastName7,customer7@example.com,339-503-6125,24/04/1964,Other,30/01/2023,16:30:07,POS,Takeout,"Frozen Margarita Flight, Smoked Show, Margarita, Cazadores Reposado",65,5,Fantastic Margarita! It exceeded all expectations.
7,FirstName7,LastName7,customer7@example.com,339-503-6125,24/04/1964,Other,13/09/2022,16:26:22,POS,Dine-in,"Malibu Dbl, HH Margarita Rock Flight, Mimosa",47,4,Really liked the HH Margarita Rock Flight. Quite satisfying.
7,FirstName7,LastName7,customer7@example.com,339-503-6125,24/04/1964,Other,03/08/2022,13:34:19,Website,Delivery,"Larceny, Elysian Space Dust",20,5,Elysian Space Dust was exceptional! Loved every bit.
7,FirstName7,LastName7,customer7@example.com,339-503-6125,24/04/1964,Other,10/06/2022,19:38:32,QR,Takeout,Glenlivet 12 Years,15,1,The Glenlivet 12 Years really let me down. Not what I hoped for.
8,FirstName8,LastName8,customer8@example.com,689-871-9246,19/06/1982,Other,09/02/2022,11:23:41,QR,Dine-in,Roasted Lemon Chicken,24.95,3,Average experience with Roasted Lemon Chicken. Nothing special.
8,FirstName8,LastName8,customer8@example.com,689-871-9246,19/06/1982,Other,04/02/2022,19:36:48,DoorDash,Takeout,"Taco Flight, Hennessy VS Dbl, Woodford Reserve",61.95,3,"Hennessy VS Dbl was decent, but I've had better."
9,FirstName9,LastName9,customer9@example.com,190-710-8088,21/03/1992,Other,06/11/2023,12:07:07,POS,Dine-in,"Chardonnay - Patland - Glass, HH Hapa IPA",18,1,Disappointed with HH Hapa IPA. Had higher expectations.
9,FirstName9,LastName9,customer9@example.com,190-710-8088,21/03/1992,Other,28/07/2023,9:15:15,DoorDash,Delivery,Tasting Wine Flight,24,2,Found the Tasting Wine Flight lacking. It's just okay.
9,FirstName9,LastName9,customer9@example.com,190-710-8088,21/03/1992,Other,27/06/2023,11:59:44,DoorDash,Delivery,"Aviation Dbl, Cabernet - Flights Founder's Label - Bottle, HH Margarita Rock Flight, 805",86,2,HH Margarita Rock Flight didn't excite me. It was just passable.
9,FirstName9,LastName9,customer9@example.com,190-710-8088,21/03/1992,Other,29/04/2023,9:36:09,Kiosk,Takeout,"Grey Goose Dbl, Moscow Mule, Roy Rogers, Bombay Sapphire Dbl, Heineken 0.0",71,4,Really liked the Heineken 0.0. Quite satisfying.
9,FirstName9,LastName9,customer9@example.com,190-710-8088,21/03/1992,Other,17/03/2023,16:26:00,Kiosk,Takeout,"Pinot Grigio - 14 Hands - Glass, Chicken Slider, Syrah - the Pundit - Bottle, 805",68,1,Unsatisfactory experience with Pinot Grigio - 14 Hands - Glass. Needs improvement.
10,FirstName10,LastName10,customer10@example.com,441-806-7130,07/03/1989,Other,19/11/2023,19:19:41,DoorDash,Takeout,"Heineken 0.0, Margarita Rock Flight, Hibiki",64,1,Unsatisfactory experience with Hibiki. Needs improvement.
10,FirstName10,LastName10,customer10@example.com,441-806-7130,07/03/1989,Other,06/10/2023,15:57:41,POS,Takeout,"Slider Flight, Larceny, Cabernet - Josh Hearth - Glass, Don Julio 1942, HH Voodoo Ranger",84.95,3,Fair enough but Slider Flight didn't wow me.
10,FirstName10,LastName10,customer10@example.com,441-806-7130,07/03/1989,Other,17/08/2023,9:32:51,DoorDash,Delivery,"Johnnie Walker Black Dbl, Well Vodka Dbl",48,1,Unsatisfactory experience with Well Vodka Dbl. Needs improvement.
10,FirstName10,LastName10,customer10@example.com,441-806-7130,07/03/1989,Other,29/11/2022,11:08:27,QR,Takeout,"Roasted Lemon Chicken, HH Space Dust, Taco Flight, Mojito, White Wine Flight",93.9,2,White Wine Flight didn't excite me. It was just passable.
10,FirstName10,LastName10,customer10@example.com,441-806-7130,07/03/1989,Other,08/11/2022,18:18:57,Call-in,Delivery,"Bluemoon, Elysian Space Dust, Chardonnay - Flights Founder's Label - Glass",26,3,"Chardonnay - Flights Founder's Label - Glass was decent, but I've had better."
10,FirstName10,LastName10,customer10@example.com,441-806-7130,07/03/1989,Other,23/10/2022,10:55:52,QR,Dine-in,"Bacardi, Caprese Salad",24.95,1,Unsatisfactory experience with Bacardi. Needs improvement.
10,FirstName10,LastName10,customer10@example.com,441-806-7130,07/03/1989,Other,06/08/2022,14:23:25,Website,Delivery,HH Bloody Mary Flight,15,1,Disappointed with HH Bloody Mary Flight. Had higher expectations.
10,FirstName10,LastName10,customer10@example.com,441-806-7130,07/03/1989,Other,07/07/2022,12:18:07,Website,Delivery,"Pan Seared Salmon Fillet, Manhattan, Courvoisier VS, Syrah - The Pundit - Glass",63.95,3,Average experience with Courvoisier VS. Nothing special.
11,FirstName11,LastName11,customer11@example.com,804-482-4106,06/05/1968,Other,16/12/2022,11:14:44,Website,Takeout,"Grapefruit Rattler, BBQ Pulled Pork Sandwich, Elysian Space Dust",32.95,4,Really liked the Grapefruit Rattler. Quite satisfying.
13,FirstName13,LastName13,customer13@example.com,363-993-1761,11/09/2000,Male,09/11/2023,12:05:06,Website,Delivery,"Kahlua Dbl, Cordant Pinot Glass, Margarita, Shirley Temple, White Wine Flight",85,4,Really liked the Margarita. Quite satisfying.
13,FirstName13,LastName13,customer13@example.com,363-993-1761,11/09/2000,Male,18/10/2023,11:50:07,POS,Takeout,"Macaroni & Cheese, Sauvignon Blanc - Intrinsic - Bottle, Paloma",64,5,Macaroni & Cheese was exceptional! Loved every bit.
13,FirstName13,LastName13,customer13@example.com,363-993-1761,11/09/2000,Male,25/05/2023,9:23:12,Website,Delivery,"Don Julio 1942, Breakfast Burrito, Glenlivet 12 years Dbl",75.95,2,Glenlivet 12 years Dbl didn't excite me. It was just passable.
13,FirstName13,LastName13,customer13@example.com,363-993-1761,11/09/2000,Male,04/02/2023,17:18:05,QR,Dine-in,"Rose - The Fabliest - Bottle, Old Fashioned",51,3,"Rose - The Fabliest - Bottle was decent, but I've had better."
13,FirstName13,LastName13,customer13@example.com,363-993-1761,11/09/2000,Male,23/01/2023,14:31:04,Call-in,Delivery,Bloody Mary Flight,24,3,Fair enough but Bloody Mary Flight didn't wow me.
13,FirstName13,LastName13,customer13@example.com,363-993-1761,11/09/2000,Male,02/05/2022,16:32:52,POS,Dine-in,"Side potatoes, Chicken n Waffles, Martini Flight, Cabernet - Josh Hearth - Bottle",88.95,5,Martini Flight was exceptional! Loved every bit.
13,FirstName13,LastName13,customer13@example.com,363-993-1761,11/09/2000,Male,09/03/2022,14:49:33,QR,Dine-in,"Bombay Sapphire Dbl, Maker Mark Dbl, Oban Dbl",86,4,Really liked the Bombay Sapphire Dbl. Quite satisfying.
13,FirstName13,LastName13,customer13@example.com,363-993-1761,11/09/2000,Male,26/01/2022,15:38:04,DoorDash,Takeout,"Malibu, Long Island Iced Tea, Hendricks Dbl, Cazadores Reposado Dbl",78,2,Found the Long Island Iced Tea lacking. It's just okay.
14,FirstName14,LastName14,customer14@example.com,544-448-7515,27/03/1998,Female,29/09/2023,21:59:30,DoorDash,Takeout,"Beef Slider, Crown Royal",22,5,Fantastic Crown Royal! It exceeded all expectations.
14,FirstName14,LastName14,customer14@example.com,544-448-7515,27/03/1998,Female,07/09/2023,21:32:54,Website,Delivery,"Soda Water, Smoked Show",15.5,1,Disappointed with Smoked Show. Had higher expectations.
14,FirstName14,LastName14,customer14@example.com,544-448-7515,27/03/1998,Female,21/05/2023,12:47:49,Website,Delivery,"Elysian Space Dust, Side Egg",11,2,Found the Side Egg lacking. It's just okay.
14,FirstName14,LastName14,customer14@example.com,544-448-7515,27/03/1998,Female,10/05/2023,10:34:18,Call-in,Takeout,"Aviation, Bacardi, Aviation Dbl, Chardonnay - Flights Founder's Label - Glass",58,1,Unsatisfactory experience with Aviation Dbl. Needs improvement.
14,FirstName14,LastName14,customer14@example.com,544-448-7515,27/03/1998,Female,20/04/2023,10:42:33,POS,Dine-in,"HH Old Fashioned Flight, Patron Reposado Dbl, Teeling Small Batch, Chardonnay - Patland - Glass",69,5,Fantastic HH Old Fashioned Flight! It exceeded all expectations.
14,FirstName14,LastName14,customer14@example.com,544-448-7515,27/03/1998,Female,14/04/2023,17:01:47,Call-in,Takeout,Orange Juice,4,5,Amazing experience with Orange Juice. Highly recommend it.
14,FirstName14,LastName14,customer14@example.com,544-448-7515,27/03/1998,Female,10/01/2023,13:00:25,Kiosk,Dine-in,"Maverick, HH Blue Moon, Beignet Flight, HH Old Fashioned Flight",44.95,5,Maverick was exceptional! Loved every bit.
14,FirstName14,LastName14,customer14@example.com,544-448-7515,27/03/1998,Female,09/10/2022,16:32:07,Kiosk,Takeout,"Buffalo Trace Dbl, Hornitos Blanco",40,5,Fantastic Buffalo Trace Dbl! It exceeded all expectations.
14,FirstName14,LastName14,customer14@example.com,544-448-7515,27/03/1998,Female,24/08/2022,11:23:10,Kiosk,Takeout,"Coffee Decaf, Cranberry Juice, Pan Seared Salmon Fillet, Larceny",50.95,5,Coffee Decaf was exceptional! Loved every bit.
16,FirstName16,LastName16,customer16@example.com,294-473-4494,19/03/1968,Male,30/10/2023,11:46:48,DoorDash,Takeout,"Well Gin, Don Julio Reposado",27,1,The Well Gin really let me down. Not what I hoped for.
16,FirstName16,LastName16,customer16@example.com,294-473-4494,19/03/1968,Male,23/05/2023,13:52:13,QR,Dine-in,"Patron Silver Dbl, Well Vodka, HH Space Dust, Cabernet - Josh Hearth - Glass, Bloody Mary",75,1,Unsatisfactory experience with Cabernet - Josh Hearth - Glass. Needs improvement.
16,FirstName16,LastName16,customer16@example.com,294-473-4494,19/03/1968,Male,05/12/2022,21:16:35,QR,Takeout,"HH Frozen Margarita Flight, Cordant Syrah, Diet Coke, Jack Daniels Dbl",119,1,The Diet Coke really let me down. Not what I hoped for.
16,FirstName16,LastName16,customer16@example.com,294-473-4494,19/03/1968,Male,05/11/2022,17:10:27,Kiosk,Takeout,"Rose - The Fabliest - Bottle, Malibu Dbl",59,4,Malibu Dbl was pretty good. Happy with it.
16,FirstName16,LastName16,customer16@example.com,294-473-4494,19/03/1968,Male,14/06/2022,11:26:46,Website,Takeout,"HH Morena Mia, Don Julio Blanco, Kahlua Dbl, Wednesday Wings 6 ",43,4,Really liked the HH Morena Mia. Quite satisfying.
16,FirstName16,LastName16,customer16@example.com,294-473-4494,19/03/1968,Male,18/05/2022,19:44:23,QR,Dine-in,"Well Rum Dbl, Bulleit Bourbon",35,2,Bulleit Bourbon didn't excite me. It was just passable.
16,FirstName16,LastName16,customer16@example.com,294-473-4494,19/03/1968,Male,01/05/2022,9:39:26,POS,Takeout,"HH Mimosa Flight, Flights Burger, Kahlua, Chardonnay - Ste Chateau Michelle - Glass, Malibu Dbl",76.95,4,Malibu Dbl was pretty good. Happy with it.
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,16/10/2023,15:09:26,Website,Delivery,Mocktini Flight,14,5,Amazing experience with Mocktini Flight. Highly recommend it.
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,02/10/2023,12:37:57,QR,Takeout,"Monkey Shoulder, Side Avocado, Well Rum Dbl",40.5,3,"Well Rum Dbl was decent, but I've had better."
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,04/09/2023,9:23:45,DoorDash,Delivery,Chardonnay - Flights Founder's Label - Glass,10,2,Chardonnay - Flights Founder's Label - Glass didn't excite me. It was just passable.
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,12/08/2023,17:32:04,Kiosk,Takeout,"Mile High, Hendricks, HH Space Dust, Cabernet - Flights Founder's Label - Bottle, Captain Morgan",92,4,HH Space Dust was pretty good. Happy with it.
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,17/04/2023,14:58:07,Website,Delivery,"6 Oz N.Y. Steak & Eggs, Cabernet - Caymus, Maker Mark, Cabernet - Chateau Michelle - Bottle, Hh Beer Flight",201.95,5,Fantastic Hh Beer Flight! It exceeded all expectations.
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,31/03/2023,19:24:28,Call-in,Delivery,"Side Pancake, Crown Royal, Casamigos Anejo Dbl, Pinot Noir - Josh - Bottle, Hapas ipa",98,2,Crown Royal didn't excite me. It was just passable.
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,08/02/2023,14:27:10,Call-in,Delivery,"White Russian, Maker Mark Dbl, Jim Beam, Sauvignon Blanc - Intrinsic - Glass",61,4,Jim Beam was pretty good. Happy with it.
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,04/02/2023,11:30:36,Website,Takeout,"Absolut Citrus, Chardonnay - Flights Founder's Label - Glass, Manhattan",37,5,Fantastic Manhattan! It exceeded all expectations.
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,07/10/2022,18:43:53,Website,Delivery,Fry Flight,16.95,3,"Fry Flight was decent, but I've had better."
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,10/07/2022,16:09:11,DoorDash,Delivery,"Cazadores Reposado Dbl, 12 Oz New York Steak, Frangelico Dbl, Bloody Mary, Hh Beer Flight",115.95,3,Fair enough but Hh Beer Flight didn't wow me.
17,FirstName17,LastName17,customer17@example.com,167-686-2920,19/02/1954,Female,06/05/2022,17:57:14,QR,Takeout,"Empress, Lemonade, Slider Flight, HH Bloody Mary Flight, Cabernet - Flights Founder's Label - Glass",62.95,4,Really liked the Cabernet - Flights Founder's Label - Glass. Quite satisfying.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,18/11/2023,12:57:45,DoorDash,Delivery,"Jameson, I Heart Prosecco - Glass, Kahlua Dbl, Pancake Flight, Captain Morgan",71.95,1,The I Heart Prosecco - Glass really let me down. Not what I hoped for.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,22/10/2023,15:37:09,DoorDash,Delivery,Bulleit Bourbon,13,3,Fair enough but Bulleit Bourbon didn't wow me.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,29/04/2023,11:46:44,Kiosk,Dine-in,"Don Julio Anejo Dbl, Cordant Pinot, Flights Burger, Long Island Iced Tea, Sauvignon Blanc - Intrinsic - Bottle",186.95,5,Amazing experience with Flights Burger. Highly recommend it.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,13/04/2023,13:29:09,Kiosk,Dine-in,Wednesday Wings 6 ,0,5,Fantastic Wednesday Wings 6! It exceeded all expectations.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,13/04/2023,11:08:10,QR,Dine-in,"Syrah - The Pundit - Glass, HH Blue Moon, HH Margarita Flight, HH Gin Flight",46,2,HH Margarita Flight didn't excite me. It was just passable.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,01/03/2023,21:29:59,QR,Takeout,"Butter Pasta, Sprite, Side Fries, Pinot Noir - Josh - Glass",30,1,Disappointed with Butter Pasta. Had higher expectations.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,29/01/2023,14:31:59,POS,Dine-in,Pinot Grigio - 14 Hands - Bottle,45,4,Pinot Grigio - 14 Hands - Bottle was pretty good. Happy with it.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,03/01/2023,20:45:10,QR,Takeout,"Tanquerary, Macallan Dbl",44,3,Average experience with Tanquerary. Nothing special.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,27/12/2022,16:19:21,Website,Takeout,"Shirley Temple, Rose - The Fabliest - Bottle, Courvoisier VS Dbl, Remy Martin Louis, Brownie Bomber",197.95,3,Average experience with Brownie Bomber. Nothing special.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,12/06/2022,11:36:23,POS,Takeout,"Hennessy OX, Cheesecake Flight, Courvoisier VSOP Dbl",65.95,1,Unsatisfactory experience with Hennessy OX. Needs improvement.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,29/01/2022,15:19:56,Call-in,Delivery,"Iced Tea, Roy Rogers, Hibiki, Bacardi Dbl",66,5,Fantastic Roy Rogers! It exceeded all expectations.
18,FirstName18,LastName18,customer18@example.com,799-882-8381,22/07/1963,Male,26/11/2021,20:03:21,Website,Takeout,"Mojito Flight, Slider Flight",43.95,5,Slider Flight was exceptional! Loved every bit.
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,20/09/2023,15:56:59,DoorDash,Delivery,"Don Julio 70, HH Space Dust, Chardonnay - Ste Chateau Michelle - Bottle, Cordant Pinot Glass, Tanquerary",110,2,Tanquerary was mediocre. Could be much better.
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,28/08/2023,14:46:13,DoorDash,Delivery,"Sauvignon Blanc - Intrinsic - Bottle, Well Mezcal, Sauvignon Blanc - Unshackled - Bottle, Don Julio 1942",127,4,Really liked the Well Mezcal. Quite satisfying.
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,31/05/2023,15:56:50,POS,Dine-in,"Hapas ipa, Beignet Flight",18.95,3,"Hapas ipa was decent, but I've had better."
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,27/05/2023,17:41:01,Website,Takeout,"Chardonnay - Flights Founder's Label - Bottle, Titos, Casamigos Blanco Dbl",79,1,Disappointed with Casamigos Blanco Dbl. Had higher expectations.
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,20/03/2023,20:16:32,POS,Dine-in,"Rose - The Fabliest - Glass, Whistle Pig Rye",26,4,Whistle Pig Rye was pretty good. Happy with it.
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,06/02/2023,10:28:11,Call-in,Takeout,"Basil Hayden, Soda Water, Chardonnay - Flights Founder's Label - Bottle, Well Vodka Dbl, Captain Morgan",90.5,2,Soda Water was mediocre. Could be much better.
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,03/12/2022,16:31:02,POS,Dine-in,"Bluemoon, Don Julio Reposado, Mac & Cheese Flight, Bacardi, Chardonnay - Hess - Glass",67.95,3,"Chardonnay - Hess - Glass was decent, but I've had better."
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,02/04/2022,17:17:11,QR,Dine-in,"Hennessy VS Dbl, Don Julio Reposado",44,4,Hennessy VS Dbl was pretty good. Happy with it.
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,26/03/2022,9:41:30,Kiosk,Dine-in,"Hh Beer Flight, Hot Tea",18,2,Found the Hot Tea lacking. It's just okay.
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,13/02/2022,15:43:18,Kiosk,Takeout,Jim Beam,12,2,Jim Beam didn't excite me. It was just passable.
19,FirstName19,LastName19,customer19@example.com,374-589-9712,11/11/1988,Female,10/02/2022,18:12:54,DoorDash,Takeout,"Laphroaig Dbl, Well Bourbon",42,3,Fair enough but Laphroaig Dbl didn't wow me.
